"[7.0,4.0,5.0,11.0,2.0,2.0,41.0,98.0,10.0,68.0,30.0,10.0,12.0,91.0,38.0,32.0,39.0,35.0,5.0,3.0,22.0,112.0,24.0,19.0,89.0,46.0,0.0,0.0,6.0,29.0,6.0,15.0,14.0,10.0,45.0,35.0,9.0,5.0,42.0,91.0,8.0,3.0,13.0,5.0,7.0,112.0,112.0,52.0,112.0,23.0,10.0,0.0,2.0,47.0,48.0,108.0,112.0,21.0,0.0,3.0,103.0,106.0,2.0,30.0,0.0,3.0,45.0,87.0,77.0,5.0,1.0,0.0,0.0,37.0,105.0,37.0,17.0,4.0,10.0,0.0,112.0,64.0,69.0,11.0,0.0,0.0,1.0,16.0,112.0,14.0,2.0,21.0,112.0,20.0,0.0,21.0,12.0,13.0,20.0,11.0,40.0,23.0,3.0,2.0,3.0,43.0,62.0,22.0,27.0,0.0,0.0,0.0,25.0,42.0,45.0,18.0,5.0,0.0,1.0,9.0,29.0,10.0,0.0,13.0,31.0,5.0,2.0,20.0]"
"[50.0,43.0,9.0,1.0,0.0,1.0,10.0,33.0,19.0,40.0,118.0,23.0,0.0,11.0,65.0,16.0,17.0,54.0,112.0,23.0,6.0,4.0,23.0,16.0,1.0,6.0,41.0,52.0,14.0,4.0,0.0,1.0,118.0,42.0,4.0,0.0,1.0,0.0,0.0,39.0,118.0,50.0,112.0,16.0,1.0,3.0,10.0,29.0,1.0,16.0,93.0,53.0,76.0,15.0,15.0,1.0,3.0,2.0,8.0,21.0,106.0,27.0,3.0,12.0,118.0,22.0,0.0,0.0,0.0,0.0,1.0,79.0,118.0,10.0,3.0,6.0,7.0,30.0,84.0,113.0,2.0,0.0,1.0,12.0,54.0,62.0,118.0,25.0,3.0,0.0,0.0,17.0,110.0,29.0,27.0,17.0,49.0,8.0,1.0,0.0,0.0,0.0,1.0,34.0,81.0,12.0,6.0,10.0,18.0,29.0,83.0,76.0,25.0,2.0,2.0,12.0,61.0,58.0,77.0,26.0,38.0,12.0,0.0,17.0,13.0,1.0,9.0,20.0]"
"[1.0,1.0,6.0,4.0,46.0,103.0,10.0,4.0,40.0,21.0,7.0,0.0,2.0,17.0,64.0,73.0,68.0,21.0,0.0,0.0,0.0,18.0,118.0,64.0,58.0,8.0,0.0,5.0,12.0,18.0,17.0,48.0,0.0,5.0,38.0,41.0,68.0,43.0,2.0,0.0,8.0,12.0,38.0,6.0,23.0,118.0,66.0,19.0,118.0,22.0,5.0,0.0,0.0,10.0,75.0,118.0,81.0,12.0,1.0,2.0,14.0,29.0,27.0,46.0,2.0,13.0,49.0,53.0,103.0,43.0,2.0,0.0,2.0,76.0,118.0,25.0,48.0,85.0,7.0,1.0,81.0,118.0,118.0,5.0,0.0,2.0,7.0,38.0,57.0,80.0,10.0,2.0,4.0,2.0,4.0,28.0,23.0,20.0,45.0,16.0,21.0,5.0,9.0,11.0,2.0,28.0,118.0,31.0,1.0,3.0,9.0,1.0,2.0,81.0,83.0,9.0,9.0,18.0,16.0,4.0,8.0,26.0,10.0,1.0,5.0,8.0,15.0,9.0]"
"[9.0,1.0,0.0,2.0,39.0,29.0,11.0,15.0,12.0,3.0,0.0,1.0,21.0,79.0,85.0,31.0,17.0,21.0,9.0,23.0,26.0,20.0,17.0,35.0,2.0,0.0,0.0,16.0,20.0,0.0,25.0,29.0,32.0,0.0,0.0,6.0,78.0,50.0,9.0,30.0,8.0,3.0,6.0,23.0,109.0,108.0,88.0,37.0,116.0,19.0,4.0,18.0,17.0,6.0,38.0,116.0,15.0,2.0,0.0,55.0,69.0,0.0,7.0,14.0,90.0,23.0,9.0,27.0,38.0,8.0,6.0,60.0,10.0,21.0,115.0,116.0,69.0,5.0,1.0,2.0,116.0,116.0,70.0,17.0,1.0,0.0,0.0,9.0,23.0,20.0,27.0,77.0,24.0,0.0,0.0,0.0,31.0,71.0,81.0,18.0,0.0,0.0,0.0,1.0,5.0,35.0,116.0,68.0,0.0,0.0,0.0,0.0,7.0,116.0,116.0,18.0,1.0,0.0,1.0,0.0,1.0,40.0,54.0,54.0,17.0,0.0,0.0,0.0]"
"[12.0,6.0,1.0,14.0,57.0,18.0,7.0,13.0,120.0,19.0,0.0,10.0,47.0,7.0,5.0,25.0,62.0,15.0,20.0,30.0,32.0,12.0,0.0,14.0,9.0,33.0,10.0,8.0,24.0,21.0,0.0,1.0,33.0,55.0,33.0,38.0,41.0,53.0,25.0,9.0,118.0,120.0,37.0,32.0,37.0,13.0,9.0,18.0,69.0,27.0,13.0,7.0,31.0,41.0,7.0,8.0,11.0,8.0,6.0,8.0,63.0,61.0,7.0,3.0,93.0,10.0,2.0,0.0,12.0,120.0,69.0,65.0,120.0,29.0,4.0,0.0,6.0,23.0,120.0,120.0,16.0,6.0,2.0,0.0,10.0,120.0,120.0,46.0,25.0,19.0,13.0,6.0,29.0,40.0,64.0,72.0,39.0,2.0,1.0,0.0,6.0,37.0,4.0,36.0,63.0,27.0,10.0,2.0,0.0,16.0,73.0,73.0,16.0,28.0,51.0,32.0,10.0,67.0,60.0,17.0,86.0,18.0,4.0,1.0,5.0,4.0,8.0,58.0]"
"[15.0,17.0,36.0,40.0,0.0,0.0,4.0,11.0,14.0,116.0,65.0,6.0,4.0,3.0,8.0,9.0,57.0,45.0,89.0,47.0,1.0,0.0,2.0,25.0,25.0,0.0,2.0,18.0,39.0,57.0,8.0,30.0,61.0,78.0,51.0,37.0,2.0,0.0,3.0,24.0,48.0,116.0,116.0,17.0,0.0,0.0,0.0,1.0,4.0,27.0,116.0,116.0,24.0,0.0,1.0,1.0,0.0,4.0,24.0,116.0,93.0,22.0,5.0,3.0,116.0,46.0,6.0,11.0,12.0,10.0,10.0,73.0,114.0,39.0,24.0,10.0,5.0,20.0,58.0,71.0,0.0,9.0,30.0,55.0,27.0,50.0,74.0,1.0,0.0,16.0,42.0,116.0,61.0,18.0,4.0,0.0,40.0,20.0,2.0,0.0,0.0,5.0,6.0,54.0,99.0,15.0,4.0,8.0,5.0,4.0,12.0,107.0,13.0,77.0,49.0,13.0,5.0,8.0,19.0,5.0,5.0,37.0,41.0,47.0,8.0,6.0,15.0,7.0]"
"[18.0,38.0,20.0,5.0,14.0,8.0,15.0,7.0,24.0,26.0,5.0,1.0,6.0,49.0,81.0,30.0,41.0,12.0,4.0,3.0,2.0,40.0,83.0,24.0,62.0,38.0,5.0,8.0,3.0,3.0,11.0,19.0,0.0,11.0,19.0,40.0,39.0,110.0,19.0,4.0,20.0,26.0,18.0,14.0,26.0,117.0,84.0,26.0,117.0,49.0,3.0,0.0,0.0,28.0,103.0,90.0,117.0,76.0,12.0,11.0,4.0,29.0,22.0,109.0,2.0,13.0,26.0,39.0,56.0,95.0,20.0,3.0,10.0,65.0,117.0,37.0,11.0,46.0,4.0,1.0,73.0,50.0,78.0,46.0,7.0,0.0,4.0,46.0,117.0,9.0,15.0,7.0,8.0,27.0,15.0,108.0,16.0,25.0,20.0,18.0,10.0,8.0,1.0,8.0,12.0,42.0,101.0,14.0,3.0,4.0,26.0,12.0,23.0,42.0,105.0,61.0,7.0,6.0,12.0,11.0,36.0,19.0,48.0,18.0,9.0,11.0,4.0,11.0]"
"[1.0,21.0,20.0,28.0,21.0,24.0,25.0,6.0,2.0,54.0,40.0,2.0,18.0,119.0,64.0,10.0,8.0,13.0,13.0,6.0,4.0,32.0,119.0,119.0,8.0,14.0,8.0,1.0,0.0,38.0,77.0,28.0,1.0,2.0,0.0,8.0,29.0,103.0,96.0,37.0,1.0,3.0,13.0,22.0,34.0,119.0,91.0,11.0,71.0,23.0,12.0,3.0,7.0,39.0,65.0,119.0,110.0,45.0,11.0,9.0,13.0,30.0,64.0,46.0,11.0,7.0,25.0,46.0,42.0,15.0,21.0,44.0,8.0,16.0,70.0,115.0,43.0,14.0,4.0,6.0,70.0,119.0,48.0,15.0,5.0,2.0,5.0,12.0,119.0,34.0,10.0,29.0,13.0,6.0,12.0,31.0,2.0,20.0,76.0,44.0,5.0,1.0,0.0,0.0,4.0,35.0,65.0,105.0,24.0,2.0,1.0,0.0,11.0,55.0,30.0,23.0,25.0,10.0,5.0,2.0,37.0,2.0,0.0,1.0,10.0,6.0,12.0,13.0]"
"[16.0,15.0,5.0,6.0,16.0,22.0,5.0,3.0,6.0,12.0,50.0,62.0,35.0,5.0,0.0,1.0,7.0,11.0,43.0,42.0,54.0,19.0,4.0,0.0,41.0,5.0,2.0,7.0,36.0,31.0,42.0,33.0,64.0,35.0,1.0,3.0,14.0,22.0,11.0,39.0,62.0,38.0,43.0,58.0,10.0,3.0,15.0,23.0,0.0,2.0,46.0,113.0,113.0,12.0,7.0,1.0,59.0,17.0,12.0,32.0,113.0,7.0,2.0,26.0,59.0,17.0,1.0,4.0,8.0,42.0,78.0,65.0,52.0,5.0,1.0,1.0,6.0,78.0,113.0,97.0,2.0,0.0,0.0,17.0,113.0,113.0,113.0,26.0,40.0,33.0,30.0,16.0,70.0,51.0,5.0,18.0,19.0,0.0,1.0,0.0,2.0,24.0,29.0,53.0,9.0,7.0,12.0,1.0,9.0,100.0,113.0,45.0,20.0,51.0,21.0,5.0,12.0,93.0,103.0,6.0,92.0,105.0,8.0,4.0,1.0,16.0,5.0,7.0]"
"[3.0,0.0,0.0,0.0,24.0,67.0,30.0,31.0,1.0,0.0,2.0,8.0,42.0,68.0,103.0,77.0,10.0,2.0,1.0,9.0,22.0,17.0,89.0,71.0,21.0,3.0,3.0,0.0,0.0,0.0,8.0,39.0,0.0,0.0,0.0,46.0,68.0,71.0,46.0,31.0,6.0,4.0,0.0,10.0,77.0,113.0,76.0,30.0,113.0,20.0,0.0,5.0,25.0,29.0,109.0,113.0,108.0,12.0,3.0,8.0,17.0,10.0,11.0,59.0,33.0,8.0,11.0,113.0,71.0,6.0,4.0,10.0,16.0,38.0,38.0,113.0,51.0,8.0,5.0,2.0,113.0,112.0,31.0,75.0,20.0,1.0,0.0,2.0,95.0,60.0,0.0,23.0,33.0,11.0,5.0,4.0,17.0,4.0,3.0,65.0,20.0,0.0,2.0,5.0,8.0,16.0,34.0,93.0,49.0,2.0,1.0,10.0,56.0,49.0,56.0,39.0,2.0,17.0,13.0,21.0,25.0,14.0,0.0,2.0,43.0,16.0,19.0,23.0]"
"[15.0,13.0,11.0,15.0,1.0,0.0,2.0,22.0,9.0,50.0,106.0,19.0,0.0,0.0,5.0,4.0,5.0,19.0,85.0,75.0,0.0,0.0,3.0,13.0,71.0,56.0,9.0,8.0,0.0,0.0,0.0,10.0,100.0,46.0,17.0,4.0,0.0,0.0,9.0,32.0,127.0,127.0,127.0,9.0,0.0,0.0,0.0,1.0,4.0,23.0,127.0,127.0,0.0,0.0,0.0,0.0,44.0,75.0,105.0,59.0,0.0,0.0,0.0,4.0,127.0,34.0,14.0,12.0,0.0,0.0,0.0,71.0,127.0,55.0,10.0,1.0,0.0,0.0,0.0,46.0,24.0,5.0,76.0,25.0,0.0,0.0,3.0,32.0,1.0,5.0,80.0,61.0,0.0,0.0,1.0,6.0,61.0,6.0,20.0,22.0,1.0,0.0,0.0,38.0,127.0,4.0,5.0,0.0,0.0,0.0,0.0,127.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,59.0,0.0,0.0,3.0,4.0,0.0,0.0,7.0,28.0]"
"[6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,102.0,41.0,0.0,0.0,0.0,0.0,0.0,7.0,45.0,84.0,52.0,1.0,0.0,0.0,1.0,3.0,23.0,6.0,20.0,1.0,0.0,1.0,2.0,64.0,11.0,0.0,1.0,1.0,0.0,0.0,3.0,135.0,135.0,50.0,5.0,0.0,0.0,0.0,19.0,22.0,57.0,90.0,135.0,49.0,2.0,0.0,6.0,37.0,94.0,15.0,101.0,24.0,0.0,0.0,8.0,61.0,1.0,0.0,2.0,2.0,1.0,0.0,10.0,135.0,4.0,0.0,0.0,0.0,1.0,29.0,135.0,26.0,1.0,0.0,42.0,35.0,102.0,135.0,60.0,17.0,8.0,1.0,41.0,28.0,78.0,81.0,28.0,7.0,0.0,3.0,2.0,1.0,4.0,2.0,12.0,27.0,4.0,3.0,0.0,0.0,3.0,55.0,118.0,1.0,5.0,5.0,0.0,0.0,65.0,135.0,23.0,0.0,5.0,3.0,0.0,0.0,27.0,53.0,3.0]"
"[20.0,22.0,2.0,0.0,4.0,4.0,1.0,0.0,24.0,71.0,108.0,50.0,1.0,0.0,0.0,0.0,6.0,37.0,96.0,74.0,5.0,3.0,0.0,2.0,4.0,15.0,17.0,16.0,29.0,26.0,2.0,2.0,102.0,32.0,17.0,12.0,0.0,0.0,0.0,13.0,120.0,75.0,53.0,43.0,0.0,0.0,1.0,56.0,4.0,5.0,117.0,120.0,112.0,36.0,2.0,1.0,1.0,1.0,3.0,50.0,120.0,30.0,0.0,0.0,46.0,4.0,21.0,97.0,57.0,12.0,1.0,29.0,120.0,3.0,0.0,2.0,6.0,29.0,113.0,120.0,5.0,1.0,0.0,0.0,74.0,120.0,120.0,10.0,0.0,0.0,0.0,7.0,66.0,62.0,5.0,0.0,3.0,1.0,1.0,7.0,44.0,67.0,13.0,7.0,1.0,2.0,2.0,2.0,6.0,17.0,70.0,26.0,3.0,2.0,0.0,1.0,0.0,29.0,71.0,6.0,1.0,0.0,0.0,0.0,2.0,8.0,5.0,2.0]"
"[1.0,9.0,11.0,6.0,0.0,0.0,0.0,0.0,3.0,43.0,90.0,4.0,0.0,0.0,2.0,9.0,24.0,8.0,108.0,20.0,0.0,0.0,27.0,71.0,2.0,0.0,19.0,18.0,0.0,0.0,101.0,61.0,71.0,37.0,7.0,8.0,4.0,0.0,0.0,2.0,133.0,133.0,133.0,9.0,0.0,0.0,0.0,11.0,1.0,11.0,133.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,133.0,16.0,0.0,7.0,3.0,89.0,5.0,1.0,5.0,3.0,0.0,0.0,10.0,133.0,5.0,1.0,1.0,0.0,1.0,0.0,65.0,12.0,0.0,11.0,17.0,2.0,18.0,25.0,4.0,0.0,0.0,5.0,61.0,82.0,42.0,17.0,0.0,43.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,133.0,5.0,0.0,0.0,2.0,39.0,5.0,23.0,10.0,0.0,0.0,0.0,3.0,133.0,97.0,10.0,0.0,0.0,0.0,0.0,8.0,79.0,70.0,8.0]"
"[7.0,9.0,1.0,4.0,5.0,0.0,1.0,3.0,38.0,117.0,60.0,2.0,0.0,0.0,1.0,11.0,60.0,109.0,59.0,32.0,1.0,1.0,6.0,26.0,12.0,22.0,7.0,69.0,46.0,20.0,14.0,21.0,72.0,41.0,6.0,25.0,24.0,0.0,0.0,4.0,130.0,130.0,71.0,7.0,0.0,0.0,0.0,45.0,8.0,32.0,85.0,130.0,15.0,3.0,6.0,12.0,0.0,8.0,21.0,78.0,80.0,28.0,11.0,9.0,47.0,11.0,6.0,11.0,10.0,4.0,2.0,14.0,130.0,5.0,0.0,0.0,0.0,9.0,109.0,130.0,10.0,0.0,0.0,22.0,18.0,56.0,130.0,25.0,9.0,8.0,12.0,39.0,36.0,25.0,88.0,19.0,2.0,0.0,0.0,0.0,11.0,18.0,11.0,8.0,12.0,0.0,0.0,0.0,0.0,7.0,101.0,57.0,10.0,0.0,0.0,0.0,0.0,10.0,119.0,32.0,89.0,19.0,3.0,0.0,0.0,0.0,32.0,25.0]"
"[0.0,1.0,31.0,38.0,6.0,2.0,0.0,0.0,0.0,33.0,93.0,5.0,2.0,3.0,0.0,0.0,0.0,29.0,110.0,47.0,23.0,2.0,0.0,0.0,2.0,3.0,3.0,22.0,27.0,2.0,0.0,0.0,11.0,11.0,48.0,28.0,8.0,31.0,32.0,85.0,26.0,88.0,120.0,1.0,0.0,0.0,0.0,66.0,1.0,40.0,82.0,58.0,120.0,17.0,0.0,0.0,2.0,47.0,20.0,28.0,120.0,5.0,0.0,0.0,33.0,7.0,2.0,0.0,0.0,12.0,10.0,71.0,120.0,7.0,0.0,0.0,3.0,2.0,1.0,120.0,20.0,2.0,0.0,1.0,120.0,80.0,0.0,6.0,102.0,120.0,20.0,3.0,87.0,23.0,0.0,0.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,98.0,5.0,0.0,0.0,0.0,18.0,29.0,91.0,25.0,7.0,2.0,0.0,60.0,120.0,30.0,12.0,120.0,37.0,0.0,0.0,14.0,17.0,0.0,0.0]"
"[52.0,33.0,2.0,0.0,0.0,0.0,0.0,1.0,56.0,81.0,115.0,56.0,0.0,0.0,0.0,2.0,43.0,97.0,66.0,56.0,0.0,0.0,0.0,4.0,39.0,52.0,4.0,2.0,4.0,7.0,5.0,12.0,136.0,8.0,0.0,0.0,0.0,0.0,0.0,20.0,137.0,38.0,37.0,58.0,0.0,1.0,5.0,55.0,21.0,13.0,89.0,137.0,19.0,9.0,18.0,10.0,19.0,2.0,6.0,22.0,22.0,20.0,36.0,37.0,93.0,9.0,0.0,0.0,0.0,0.0,0.0,12.0,137.0,1.0,1.0,1.0,0.0,18.0,121.0,137.0,3.0,0.0,4.0,22.0,21.0,76.0,137.0,11.0,0.0,0.0,0.0,9.0,30.0,118.0,79.0,20.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,12.0,64.0,38.0,3.0,0.0,0.0,0.0,0.0,24.0,101.0,4.0,1.0,3.0,6.0,1.0,2.0,23.0,22.0,3.0]"
